2023-11-6, 65:3, 16, 3.20 mm
2023-11-6, 65:4, 23, 4.60 mm
2023-11-6, 65:5, 0, 0.00 mm
2023-11-6, 65:6, 0, 0.00 mm
2023-11-6, 65:7, 0, 0.00 mm
2023-11-6, 65:8, 0, 0.00 mm
2023-11-6, 65:9, 0, 0.00 mm
2023-11-6, 65:10, 0, 0.00 mm
2023-11-6, 65:11, 0, 0.00 mm
2023-11-6, 65:12, 0, 0.00 mm
2023-11-6, 65:13, 2, 0.40 mm
2023-11-6, 65:14, 0, 0.00 mm
2023-11-6, 65:15, 0, 0.00 mm
2023-11-6, 65:16, 0, 0.00 mm
2023-11-6, 65:17, 0, 0.00 mm
2023-11-6, 65:18, 0, 0.00 mm
2023-11-6, 65:19, 0, 0.00 mm
2023-11-6, 65:20, 0, 0.00 mm
2023-11-6, 65:21, 0, 0.00 mm
2023-11-6, 65:22, 0, 0.00 mm
2023-11-6, 65:23, 0, 0.00 mm
2023-11-6, 65:24, 0, 0.00 mm
2023-11-6, 65:25, 0, 0.00 mm
2023-11-6, 65:26, 0, 0.00 mm
2023-11-6, 65:27, 0, 0.00 mm
2023-11-6, 65:28, 0, 0.00 mm
2023-11-6, 65:32, 1, 0.20 mm
2023-11-6, 65:33, 0, 0.00 mm
2023-11-6, 65:34, 0, 0.00 mm
2023-11-6, 65:35, 0, 0.00 mm
2023-11-6, 65:36, 0, 0.00 mm
2023-11-6, 65:37, 0, 0.00 mm
2023-11-6, 65:38, 0, 0.00 mm
2023-11-6, 65:39, 0, 0.00 mm
2023-11-6, 65:40, 0, 0.00 mm
2023-11-6, 65:41, 0, 0.00 mm
2023-11-6, 65:42, 0, 0.00 mm
2023-11-6, 65:43, 0, 0.00 mm
2023-11-6, 65:44, 0, 0.00 mm
2023-11-6, 65:45, 0, 0.00 mm
2023-11-6, 65:46, 0, 0.00 mm
2023-11-6, 65:47, 0, 0.00 mm
2023-11-6, 65:48, 0, 0.00 mm
2023-11-6, 65:49, 0, 0.00 mm
2023-11-6, 65:50, 0, 0.00 mm
2023-11-6, 65:51, 0, 0.00 mm
2023-11-6, 65:52, 0, 0.00 mm
2023-11-6, 65:53, 0, 0.00 mm
2023-11-6, 65:54, 0, 0.00 mm
2023-11-6, 65:55, 0, 0.00 mm
2023-11-6, 65:56, 0, 0.00 mm
2023-11-6, 65:57, 0, 0.00 mm
2023-11-6, 65:58, 0, 0.00 mm
2023-11-6, 65:59, 0, 0.00 mm
2023-11-6, 66:0, 0, 0.00 mm
2023-11-6, 66:1, 0, 0.00 mm
2023-11-6, 66:2, 0, 0.00 mm
2023-11-6, 66:3, 0, 0.00 mm
2023-11-6, 66:4, 0, 0.00 mm
2023-11-6, 66:5, 0, 0.00 mm
2023-11-6, 66:6, 0, 0.00 mm
2023-11-6, 66:7, 0, 0.00 mm
2023-11-6, 66:8, 0, 0.00 mm
2023-11-6, 66:9, 0, 0.00 mm
2023-11-6, 66:10, 0, 0.00 mm
2023-11-6, 66:11, 0, 0.00 mm
2023-11-6, 66:12, 0, 0.00 mm
2023-11-6, 66:13, 0, 0.00 mm
2023-11-6, 66:14, 0, 0.00 mm
2023-11-6, 66:15, 0, 0.00 mm
2023-11-6, 66:16, 0, 0.00 mm
2023-11-6, 66:17, 0, 0.00 mm
2023-11-6, 66:18, 0, 0.00 mm
2023-11-6, 66:19, 0, 0.00 mm
2023-11-6, 66:20, 0, 0.00 mm
2023-11-6, 66:21, 0, 0.00 mm
2023-11-6, 66:22, 0, 0.00 mm
2023-11-6, 66:23, 0, 0.00 mm
2023-11-6, 66:24, 0, 0.00 mm
2023-11-6, 66:25, 0, 0.00 mm
2023-11-6, 66:26, 0, 0.00 mm
2023-11-6, 66:27, 0, 0.00 mm
2023-11-6, 66:28, 0, 0.00 mm
2023-11-6, 66:29, 0, 0.00 mm
2023-11-6, 66:30, 0, 0.00 mm
2023-11-6, 66:31, 0, 0.00 mm
2023-11-6, 66:32, 0, 0.00 mm
2023-11-6, 66:33, 0, 0.00 mm
2023-11-6, 66:34, 0, 0.00 mm
2023-11-6, 66:35, 0, 0.00 mm
2023-11-6, 66:36, 0, 0.00 mm
2023-11-6, 66:37, 0, 0.00 mm
2023-11-6, 66:38, 1, 0.20 mm
2023-11-6, 66:39, 0, 0.00 mm
2023-11-6, 66:40, 0, 0.00 mm
2023-11-6, 66:41, 0, 0.00 mm
2023-11-6, 66:42, 0, 0.00 mm
2023-11-6, 66:43, 0, 0.00 mm
2023-11-6, 66:44, 0, 0.00 mm
2023-11-6, 66:45, 0, 0.00 mm
2023-11-6, 66:46, 1, 0.20 mm
2023-11-6, 66:47, 0, 0.00 mm
2023-11-6, 66:48, 0, 0.00 mm
2023-11-6, 66:49, 0, 0.00 mm
2023-11-6, 66:50, 0, 0.00 mm
2023-11-6, 66:51, 0, 0.00 mm
2023-11-6, 66:52, 0, 0.00 mm
2023-11-6, 66:53, 0, 0.00 mm
2023-11-6, 66:54, 1, 0.20 mm
2023-11-6, 66:55, 0, 0.00 mm
2023-11-6, 66:56, 0, 0.00 mm
2023-11-6, 66:57, 0, 0.00 mm
2023-11-6, 66:58, 0, 0.00 mm
2023-11-6, 66:59, 0, 0.00 mm
2023-11-6, 67:0, 0, 0.00 mm
2023-11-6, 67:1, 0, 0.00 mm
2023-11-6, 67:2, 0, 0.00 mm
2023-11-6, 67:3, 0, 0.00 mm
2023-11-6, 67:4, 0, 0.00 mm
2023-11-6, 67:5, 0, 0.00 mm
2023-11-6, 67:6, 0, 0.00 mm
2023-11-6, 67:7, 0, 0.00 mm
2023-11-6, 67:8, 0, 0.00 mm
2023-11-6, 67:9, 0, 0.00 mm
2023-11-6, 67:10, 0, 0.00 mm
2023-11-6, 67:11, 0, 0.00 mm
2023-11-6, 67:12, 0, 0.00 mm
2023-11-6, 67:13, 0, 0.00 mm
2023-11-6, 67:14, 0, 0.00 mm
2023-11-6, 67:15, 0, 0.00 mm
2023-11-6, 67:16, 0, 0.00 mm
2023-11-6, 67:17, 0, 0.00 mm
2023-11-6, 67:18, 0, 0.00 mm
2023-11-6, 67:19, 0, 0.00 mm
2023-11-6, 67:20, 0, 0.00 mm
2023-11-6, 67:21, 0, 0.00 mm
2023-11-6, 67:22, 0, 0.00 mm
2023-11-6, 67:23, 0, 0.00 mm
2023-11-6, 67:24, 0, 0.00 mm
2023-11-6, 67:25, 0, 0.00 mm
2023-11-6, 67:26, 0, 0.00 mm
2023-11-6, 67:27, 0, 0.00 mm
2023-11-6, 67:28, 0, 0.00 mm
2023-11-6, 67:29, 0, 0.00 mm
2023-11-6, 67:30, 0, 0.00 mm
2023-11-6, 67:31, 0, 0.00 mm
2023-11-6, 67:32, 0, 0.00 mm
2023-11-6, 67:33, 0, 0.00 mm
2023-11-6, 67:34, 0, 0.00 mm
2023-11-6, 67:35, 0, 0.00 mm
2023-11-6, 67:36, 0, 0.00 mm
2023-11-6, 67:37, 0, 0.00 mm
2023-11-6, 67:38, 0, 0.00 mm
2023-11-6, 67:39, 0, 0.00 mm
2023-11-6, 67:40, 0, 0.00 mm
2023-11-6, 67:41, 0, 0.00 mm
2023-11-6, 67:42, 0, 0.00 mm
2023-11-6, 67:43, 0, 0.00 mm
2023-11-6, 67:44, 0, 0.00 mm
2023-11-6, 67:45, 0, 0.00 mm
2023-11-6, 67:46, 0, 0.00 mm
2023-11-6, 67:47, 0, 0.00 mm
2023-11-6, 67:48, 0, 0.00 mm
2023-11-6, 67:49, 0, 0.00 mm
2023-11-6, 67:50, 0, 0.00 mm
2023-11-6, 67:51, 0, 0.00 mm
2023-11-6, 67:52, 0, 0.00 mm
2023-11-6, 67:53, 0, 0.00 mm
2023-11-6, 67:54, 0, 0.00 mm
2023-11-6, 67:55, 0, 0.00 mm
2023-11-6, 67:56, 0, 0.00 mm
2023-11-6, 67:57, 0, 0.00 mm
2023-11-6, 67:58, 0, 0.00 mm
2023-11-6, 67:59, 0, 0.00 mm
2023-11-6, 68:0, 0, 0.00 mm
2023-11-6, 68:1, 0, 0.00 mm
2023-11-6, 68:2, 0, 0.00 mm
2023-11-6, 68:3, 0, 0.00 mm
2023-11-6, 68:4, 0, 0.00 mm
2023-11-6, 68:5, 0, 0.00 mm
2023-11-6, 68:6, 0, 0.00 mm
2023-11-6, 68:7, 0, 0.00 mm
2023-11-6, 68:8, 0, 0.00 mm
2023-11-6, 68:9, 0, 0.00 mm
2023-11-6, 68:10, 0, 0.00 mm
2023-11-6, 68:11, 0, 0.00 mm
2023-11-6, 68:12, 0, 0.00 mm
2023-11-6, 68:13, 0, 0.00 mm
2023-11-6, 68:14, 0, 0.00 mm
2023-11-6, 68:15, 0, 0.00 mm
2023-11-6, 68:16, 0, 0.00 mm
2023-11-6, 68:17, 0, 0.00 mm
2023-11-6, 68:18, 0, 0.00 mm
2023-11-6, 68:19, 0, 0.00 mm
2023-11-6, 68:20, 0, 0.00 mm
2023-11-6, 68:21, 0, 0.00 mm
2023-11-6, 68:22, 0, 0.00 mm
2023-11-6, 68:23, 0, 0.00 mm
2023-11-6, 68:24, 0, 0.00 mm
2023-11-6, 68:25, 0, 0.00 mm
2023-11-6, 68:26, 0, 0.00 mm
2023-11-6, 68:27, 0, 0.00 mm
2023-11-6, 68:28, 0, 0.00 mm
2023-11-6, 68:29, 0, 0.00 mm
2023-11-6, 68:30, 0, 0.00 mm
2023-11-6, 68:31, 0, 0.00 mm
2023-11-6, 68:32, 0, 0.00 mm
2023-11-6, 68:33, 0, 0.00 mm
2023-11-6, 68:34, 0, 0.00 mm
2023-11-6, 68:35, 0, 0.00 mm
2023-11-6, 68:36, 0, 0.00 mm
2023-11-6, 68:37, 0, 0.00 mm
2023-11-6, 68:38, 0, 0.00 mm
2023-11-6, 68:39, 0, 0.00 mm
2023-11-6, 68:40, 0, 0.00 mm
2023-11-6, 68:41, 0, 0.00 mm
2023-11-6, 68:42, 0, 0.00 mm
2023-11-6, 68:43, 0, 0.00 mm
2023-11-6, 68:44, 0, 0.00 mm
2023-11-6, 68:45, 0, 0.00 mm
2023-11-6, 68:46, 0, 0.00 mm
2023-11-6, 68:47, 0, 0.00 mm
2023-11-6, 68:48, 0, 0.00 mm
2023-11-6, 68:49, 0, 0.00 mm
2023-11-6, 68:50, 0, 0.00 mm
2023-11-6, 68:51, 0, 0.00 mm
2023-11-6, 68:52, 0, 0.00 mm
2023-11-6, 68:53, 0, 0.00 mm
2023-11-6, 68:54, 0, 0.00 mm
2023-11-6, 68:55, 0, 0.00 mm
2023-11-6, 68:56, 0, 0.00 mm
2023-11-6, 68:57, 0, 0.00 mm
2023-11-6, 68:58, 0, 0.00 mm
2023-11-6, 68:59, 0, 0.00 mm
2023-11-6, 69:0, 0, 0.00 mm
2023-11-6, 69:1, 0, 0.00 mm
2023-11-6, 69:2, 0, 0.00 mm
2023-11-6, 69:3, 0, 0.00 mm
2023-11-6, 69:4, 0, 0.00 mm
2023-11-6, 69:5, 0, 0.00 mm
2023-11-6, 69:6, 0, 0.00 mm
2023-11-6, 69:7, 0, 0.00 mm
2023-11-6, 69:8, 0, 0.00 mm
2023-11-6, 69:9, 0, 0.00 mm
2023-11-6, 69:10, 0, 0.00 mm
2023-11-6, 69:11, 0, 0.00 mm
2023-11-6, 69:12, 0, 0.00 mm
2023-11-6, 69:13, 0, 0.00 mm
2023-11-6, 69:14, 0, 0.00 mm
2023-11-6, 69:15, 0, 0.00 mm
2023-11-6, 69:16, 0, 0.00 mm
2023-11-6, 69:17, 0, 0.00 mm
2023-11-6, 69:18, 0, 0.00 mm
2023-11-6, 69:19, 0, 0.00 mm
2023-11-6, 69:20, 0, 0.00 mm
2023-11-6, 69:21, 0, 0.00 mm
2023-11-6, 69:22, 0, 0.00 mm
2023-11-6, 69:23, 0, 0.00 mm
2023-11-6, 69:24, 0, 0.00 mm
2023-11-6, 69:25, 0, 0.00 mm
2023-11-6, 69:26, 0, 0.00 mm
2023-11-6, 69:27, 0, 0.00 mm
2023-11-6, 69:28, 0, 0.00 mm
2023-11-6, 69:29, 0, 0.00 mm
2023-11-6, 69:30, 0, 0.00 mm
2023-11-6, 69:31, 0, 0.00 mm
2023-11-6, 69:32, 0, 0.00 mm
2023-11-6, 69:33, 0, 0.00 mm
2023-11-6, 69:34, 0, 0.00 mm
2023-11-6, 69:35, 0, 0.00 mm
2023-11-6, 69:36, 0, 0.00 mm
2023-11-6, 69:37, 0, 0.00 mm
2023-11-6, 69:38, 0, 0.00 mm
2023-11-6, 69:39, 0, 0.00 mm
2023-11-6, 69:40, 0, 0.00 mm
2023-11-6, 69:41, 0, 0.00 mm
2023-11-6, 69:42, 0, 0.00 mm
2023-11-6, 69:43, 0, 0.00 mm
2023-11-6, 69:44, 0, 0.00 mm
2023-11-6, 69:45, 0, 0.00 mm
2023-11-6, 69:46, 0, 0.00 mm
2023-11-6, 69:47, 0, 0.00 mm
2023-11-6, 69:48, 0, 0.00 mm
2023-11-6, 69:49, 0, 0.00 mm
2023-11-6, 69:50, 0, 0.00 mm
2023-11-6, 69:51, 0, 0.00 mm
2023-11-6, 69:52, 0, 0.00 mm
