"Time","device_frmpayload_data_loudness"
2023-08-23 14:47:45,145
2023-08-23 14:48:06,67
2023-08-23 14:48:27,83
2023-08-23 14:48:38,86
2023-08-23 14:48:49,90
2023-08-23 14:48:59,170
2023-08-23 14:49:10,162
2023-08-23 14:49:21,86
2023-08-23 14:49:32,133
2023-08-23 14:49:43,67
2023-08-23 14:49:53,214
2023-08-23 14:50:04,196
2023-08-23 14:50:15,197
2023-08-23 14:50:26,161
2023-08-23 14:50:36,190
2023-08-23 14:50:47,200
2023-08-23 14:50:58,207
2023-08-23 14:51:09,118
2023-08-23 14:51:20,177
2023-08-23 14:51:30,166
2023-08-23 14:51:41,175
2023-08-23 14:51:52,235
2023-08-23 14:52:03,188
2023-08-23 14:52:13,182
2023-08-23 14:52:24,224
2023-08-23 14:52:35,221
2023-08-23 14:52:46,203
2023-08-23 14:52:57,173
2023-08-23 14:53:07,147
2023-08-23 14:53:18,180
2023-08-23 14:53:29,166
2023-08-23 14:53:40,158
2023-08-23 14:53:50,185
2023-08-23 14:54:01,174
2023-08-23 14:54:12,124
2023-08-23 14:54:23,189
2023-08-23 14:54:34,175
2023-08-23 14:54:44,206
2023-08-23 14:54:55,195
2023-08-23 14:55:06,209
2023-08-23 14:55:17,173
2023-08-23 14:55:27,131
2023-08-23 14:55:38,179
2023-08-23 14:55:49,179
2023-08-23 14:56:00,145
2023-08-23 14:56:11,177
2023-08-23 14:56:21,144
2023-08-23 14:56:32,150
2023-08-23 14:56:43,141
2023-08-23 14:56:54,155
2023-08-23 14:57:04,196
2023-08-23 14:57:15,131
2023-08-23 14:57:26,187
2023-08-23 14:57:37,171
2023-08-23 14:57:48,159
2023-08-23 14:57:58,179
2023-08-23 14:58:09,147
2023-08-23 14:58:20,146
2023-08-23 14:58:31,173
2023-08-23 14:58:42,175
2023-08-23 14:58:52,157
2023-08-23 14:59:03,156
2023-08-23 14:59:14,238
2023-08-23 14:59:25,208
2023-08-23 14:59:35,152
2023-08-23 14:59:46,172
2023-08-23 14:59:57,132
2023-08-23 15:00:08,188
2023-08-23 15:00:19,115
2023-08-23 15:00:29,147
2023-08-23 15:00:40,192
2023-08-23 15:00:51,176
2023-08-23 15:01:02,149
2023-08-23 15:01:12,153
2023-08-23 15:01:23,188
2023-08-23 15:01:34,129
2023-08-23 15:01:45,178
2023-08-23 15:01:56,155
2023-08-23 15:02:06,164
2023-08-23 15:02:17,149
2023-08-23 15:02:28,158
2023-08-23 15:02:39,206
