"Time","device_frmpayload_data_sound"
2023-08-23 14:47:45,734
2023-08-23 14:48:06,16
2023-08-23 14:48:27,53
2023-08-23 14:48:38,37
2023-08-23 14:48:49,81
2023-08-23 14:48:59,38
2023-08-23 14:49:10,23
2023-08-23 14:49:21,46
2023-08-23 14:49:32,45
2023-08-23 14:49:43,35
2023-08-23 14:49:53,123
2023-08-23 14:50:04,233
2023-08-23 14:50:15,89
2023-08-23 14:50:26,119
2023-08-23 14:50:36,131
2023-08-23 14:50:47,34
2023-08-23 14:50:58,20
2023-08-23 14:51:09,83
2023-08-23 14:51:20,98
2023-08-23 14:51:30,52
2023-08-23 14:51:41,121
2023-08-23 14:51:52,84
2023-08-23 14:52:03,141
2023-08-23 14:52:13,150
2023-08-23 14:52:24,174
2023-08-23 14:52:35,126
2023-08-23 14:52:46,69
2023-08-23 14:52:57,86
2023-08-23 14:53:07,135
2023-08-23 14:53:18,241
2023-08-23 14:53:29,158
2023-08-23 14:53:40,90
2023-08-23 14:53:50,151
2023-08-23 14:54:01,62
2023-08-23 14:54:12,73
2023-08-23 14:54:23,102
2023-08-23 14:54:34,183
2023-08-23 14:54:44,233
2023-08-23 14:54:55,83
2023-08-23 14:55:06,216
2023-08-23 14:55:17,105
2023-08-23 14:55:27,91
2023-08-23 14:55:38,115
2023-08-23 14:55:49,95
2023-08-23 14:56:00,53
2023-08-23 14:56:11,107
2023-08-23 14:56:21,157
2023-08-23 14:56:32,96
2023-08-23 14:56:43,151
2023-08-23 14:56:54,190
2023-08-23 14:57:04,15
2023-08-23 14:57:15,119
2023-08-23 14:57:26,159
2023-08-23 14:57:37,149
2023-08-23 14:57:48,103
2023-08-23 14:57:58,126
2023-08-23 14:58:09,128
2023-08-23 14:58:20,149
2023-08-23 14:58:31,166
2023-08-23 14:58:42,158
2023-08-23 14:58:52,110
2023-08-23 14:59:03,170
2023-08-23 14:59:14,76
2023-08-23 14:59:25,107
2023-08-23 14:59:35,82
2023-08-23 14:59:46,166
2023-08-23 14:59:57,84
2023-08-23 15:00:08,105
2023-08-23 15:00:19,158
2023-08-23 15:00:29,167
2023-08-23 15:00:40,133
2023-08-23 15:00:51,192
2023-08-23 15:01:02,148
2023-08-23 15:01:12,102
2023-08-23 15:01:23,95
2023-08-23 15:01:34,154
2023-08-23 15:01:45,162
2023-08-23 15:01:56,117
2023-08-23 15:02:06,128
2023-08-23 15:02:17,180
2023-08-23 15:02:28,98
2023-08-23 15:02:39,166
