"Time","device_frmpayload_data_rainfall.mean"
2023-08-23 13:27:40,
2023-08-23 13:28:00,0
2023-08-23 13:28:20,
2023-08-23 13:28:40,
2023-08-23 13:29:00,0
2023-08-23 13:29:20,
2023-08-23 13:29:40,
2023-08-23 13:30:00,0
2023-08-23 13:30:20,
2023-08-23 13:30:40,
2023-08-23 13:31:00,0
2023-08-23 13:31:20,
2023-08-23 13:31:40,
2023-08-23 13:32:00,0
2023-08-23 13:32:20,
2023-08-23 13:32:40,
2023-08-23 13:33:00,0
2023-08-23 13:33:20,
2023-08-23 13:33:40,
2023-08-23 13:34:00,0
2023-08-23 13:34:20,
2023-08-23 13:34:40,
2023-08-23 13:35:00,0
2023-08-23 13:35:20,
2023-08-23 13:35:40,
2023-08-23 13:36:00,0
2023-08-23 13:36:20,
2023-08-23 13:36:40,
2023-08-23 13:37:00,0
2023-08-23 13:37:20,
2023-08-23 13:37:40,
2023-08-23 13:38:00,0
2023-08-23 13:38:20,
2023-08-23 13:38:40,
2023-08-23 13:39:00,0
2023-08-23 13:39:20,
2023-08-23 13:39:40,
2023-08-23 13:40:00,0
2023-08-23 13:40:20,
2023-08-23 13:40:40,
2023-08-23 13:41:00,0
2023-08-23 13:41:20,
2023-08-23 13:41:40,
2023-08-23 13:42:00,0
2023-08-23 13:42:20,
2023-08-23 13:42:40,
2023-08-23 13:43:00,0
2023-08-23 13:43:20,
2023-08-23 13:43:40,
2023-08-23 13:44:00,0
2023-08-23 13:44:20,
2023-08-23 13:44:40,
2023-08-23 13:45:00,0
2023-08-23 13:45:20,
2023-08-23 13:45:40,
2023-08-23 13:46:00,0
2023-08-23 13:46:20,
2023-08-23 13:46:40,
2023-08-23 13:47:00,0
2023-08-23 13:47:20,
2023-08-23 13:47:40,
2023-08-23 13:48:00,0
2023-08-23 13:48:20,
2023-08-23 13:48:40,
2023-08-23 13:49:00,0
2023-08-23 13:49:20,
2023-08-23 13:49:40,
2023-08-23 13:50:00,0
2023-08-23 13:50:20,
2023-08-23 13:50:40,
2023-08-23 13:51:00,0
2023-08-23 13:51:20,
2023-08-23 13:51:40,
2023-08-23 13:52:00,0
2023-08-23 13:52:20,
2023-08-23 13:52:40,
2023-08-23 13:53:00,0
2023-08-23 13:53:20,
2023-08-23 13:53:40,
2023-08-23 13:54:00,0
2023-08-23 13:54:20,
2023-08-23 13:54:40,
2023-08-23 13:55:00,0
2023-08-23 13:55:20,
2023-08-23 13:55:40,
2023-08-23 13:56:00,0
2023-08-23 13:56:20,
2023-08-23 13:56:40,
2023-08-23 13:57:00,0
2023-08-23 13:57:20,
2023-08-23 13:57:40,
2023-08-23 13:58:00,0
2023-08-23 13:58:20,
2023-08-23 13:58:40,
2023-08-23 13:59:00,0
2023-08-23 13:59:20,
2023-08-23 13:59:40,
2023-08-23 14:00:00,0
2023-08-23 14:00:20,
2023-08-23 14:00:40,
2023-08-23 14:01:00,0
2023-08-23 14:01:20,
2023-08-23 14:01:40,
2023-08-23 14:02:00,0
2023-08-23 14:02:20,
2023-08-23 14:02:40,
2023-08-23 14:03:00,0
2023-08-23 14:03:20,
2023-08-23 14:03:40,
2023-08-23 14:04:00,0
2023-08-23 14:04:20,
2023-08-23 14:04:40,
2023-08-23 14:05:00,0
2023-08-23 14:05:20,
2023-08-23 14:05:40,
2023-08-23 14:06:00,0
2023-08-23 14:06:20,
2023-08-23 14:06:40,
2023-08-23 14:07:00,0
2023-08-23 14:07:20,
2023-08-23 14:07:40,
2023-08-23 14:08:00,0
2023-08-23 14:08:20,
2023-08-23 14:08:40,
2023-08-23 14:09:00,0
2023-08-23 14:09:20,
2023-08-23 14:09:40,
2023-08-23 14:10:00,0
2023-08-23 14:10:20,
2023-08-23 14:10:40,
2023-08-23 14:11:00,0
2023-08-23 14:11:20,
2023-08-23 14:11:40,
2023-08-23 14:12:00,0.800
2023-08-23 14:12:20,
2023-08-23 14:12:40,
2023-08-23 14:13:00,7.60
2023-08-23 14:13:20,
2023-08-23 14:13:40,
2023-08-23 14:14:00,8
2023-08-23 14:14:20,
2023-08-23 14:14:40,
2023-08-23 14:15:00,5.20
2023-08-23 14:15:20,
2023-08-23 14:15:40,
2023-08-23 14:16:00,0
2023-08-23 14:16:20,
2023-08-23 14:16:40,
2023-08-23 14:17:00,0
2023-08-23 14:17:20,
2023-08-23 14:17:40,
2023-08-23 14:18:00,0
2023-08-23 14:18:20,
2023-08-23 14:18:40,
2023-08-23 14:19:00,0
2023-08-23 14:19:20,
2023-08-23 14:19:40,
2023-08-23 14:20:00,0
2023-08-23 14:20:20,
2023-08-23 14:20:40,
2023-08-23 14:21:00,0
2023-08-23 14:21:20,
2023-08-23 14:21:40,
2023-08-23 14:22:00,0
2023-08-23 14:22:20,
2023-08-23 14:22:40,
2023-08-23 14:23:00,3.40
2023-08-23 14:23:20,
2023-08-23 14:23:40,
2023-08-23 14:24:00,0
2023-08-23 14:24:20,
2023-08-23 14:24:40,
2023-08-23 14:25:00,6.60
2023-08-23 14:25:20,
2023-08-23 14:25:40,
2023-08-23 14:26:00,0
2023-08-23 14:26:20,
2023-08-23 14:26:40,
2023-08-23 14:27:00,0
2023-08-23 14:27:20,
2023-08-23 14:27:40,
2023-08-23 14:28:00,0
2023-08-23 14:28:20,
2023-08-23 14:28:40,
2023-08-23 14:29:00,0
2023-08-23 14:29:20,
2023-08-23 14:29:40,
2023-08-23 14:30:00,0
2023-08-23 14:30:20,
2023-08-23 14:30:40,
2023-08-23 14:31:00,0
2023-08-23 14:31:20,
2023-08-23 14:31:40,
2023-08-23 14:32:00,0
2023-08-23 14:32:20,
2023-08-23 14:32:40,
2023-08-23 14:33:00,0
2023-08-23 14:33:20,
2023-08-23 14:33:40,
2023-08-23 14:34:00,0
2023-08-23 14:34:20,
2023-08-23 14:34:40,
2023-08-23 14:35:00,0
2023-08-23 14:35:20,
2023-08-23 14:35:40,
2023-08-23 14:36:00,0
2023-08-23 14:36:20,
2023-08-23 14:36:40,
2023-08-23 14:37:00,4.20
2023-08-23 14:37:20,
