2023-9-21, 16:0, 12, 3.36 mm
2023-9-21, 16:1, 0, 0.00 mm
2023-9-21, 16:2, 0, 0.00 mm
2023-9-21, 16:3, 0, 0.00 mm
2023-9-21, 16:4, 0, 0.00 mm
2023-9-21, 16:5, 0, 0.00 mm
2023-9-21, 16:6, 0, 0.00 mm
2023-9-21, 16:7, 0, 0.00 mm
2023-9-21, 16:8, 0, 0.00 mm
2023-9-21, 16:9, 0, 0.00 mm
2023-9-21, 16:10, 0, 0.00 mm
2023-9-21, 16:11, 0, 0.00 mm
2023-9-21, 16:12, 0, 0.00 mm
2023-9-21, 16:13, 0, 0.00 mm
2023-9-21, 16:14, 0, 0.00 mm
2023-9-21, 16:15, 0, 0.00 mm
2023-9-21, 16:16, 0, 0.00 mm
2023-9-21, 16:17, 0, 0.00 mm
2023-9-21, 16:18, 0, 0.00 mm
2023-9-21, 16:19, 0, 0.00 mm
2023-9-21, 16:20, 0, 0.00 mm
2023-9-21, 16:21, 0, 0.00 mm
2023-9-21, 16:22, 0, 0.00 mm
2023-9-21, 16:23, 0, 0.00 mm
2023-9-21, 16:24, 0, 0.00 mm
2023-9-21, 16:25, 0, 0.00 mm
2023-9-21, 16:26, 0, 0.00 mm
2023-9-21, 16:27, 0, 0.00 mm
2023-9-21, 16:28, 0, 0.00 mm
2023-9-21, 16:29, 0, 0.00 mm
2023-9-21, 16:30, 0, 0.00 mm
2023-9-21, 16:31, 0, 0.00 mm
2023-9-21, 16:32, 0, 0.00 mm
2023-9-21, 16:33, 0, 0.00 mm
2023-9-21, 16:34, 0, 0.00 mm
2023-9-22, 13:20, 1, 0.28 mm
2023-9-22, 13:21, 0, 0.00 mm
2023-9-22, 13:22, 0, 0.00 mm
2023-9-22, 13:23, 0, 0.00 mm
2023-9-22, 13:25, 11, 3.08 mm
2023-9-27, 13:5, 26, 7.28 mm
2023-9-27, 13:6, 0, 0.00 mm
2023-9-27, 13:7, 0, 0.00 mm
2023-9-27, 13:8, 0, 0.00 mm
2023-9-27, 13:9, 0, 0.00 mm
2023-9-27, 13:10, 0, 0.00 mm
2023-9-27, 13:11, 0, 0.00 mm
2023-9-27, 13:12, 0, 0.00 mm
2023-9-27, 13:13, 0, 0.00 mm
2023-9-27, 13:14, 3, 0.84 mm
2023-9-27, 13:15, 7, 1.96 mm
2023-9-27, 13:16, 5, 1.40 mm
2023-9-27, 13:17, 1, 0.28 mm
2023-9-27, 13:18, 0, 0.00 mm
2023-9-27, 13:19, 0, 0.00 mm
2023-9-27, 13:20, 0, 0.00 mm
2023-9-27, 13:21, 1, 0.28 mm
2023-9-27, 13:22, 2, 0.56 mm
2023-9-27, 13:23, 2, 0.56 mm
2023-9-27, 13:24, 1, 0.28 mm
2023-9-27, 13:25, 4, 1.12 mm
2023-9-27, 13:26, 3, 0.84 mm
2023-9-27, 13:27, 0, 0.00 mm
2023-9-27, 13:28, 0, 0.00 mm
2023-9-27, 13:29, 0, 0.00 mm
2023-9-27, 13:30, 0, 0.00 mm
2023-9-27, 13:31, 0, 0.00 mm
2023-9-27, 13:32, 0, 0.00 mm
2023-9-27, 13:33, 0, 0.00 mm
2023-9-27, 13:34, 0, 0.00 mm
2023-9-27, 13:35, 0, 0.00 mm
2023-9-27, 13:36, 0, 0.00 mm
2023-9-27, 13:37, 0, 0.00 mm
2023-9-27, 13:38, 0, 0.00 mm
2023-9-27, 13:39, 0, 0.00 mm
2023-9-27, 13:40, 0, 0.00 mm
2023-9-27, 13:41, 0, 0.00 mm
2023-9-27, 13:42, 0, 0.00 mm
2023-9-27, 13:43, 0, 0.00 mm
2023-9-27, 13:44, 0, 0.00 mm
2023-9-27, 13:45, 0, 0.00 mm
2023-9-27, 13:46, 0, 0.00 mm
2023-9-27, 13:47, 0, 0.00 mm
2023-9-27, 13:48, 0, 0.00 mm
2023-9-27, 13:49, 0, 0.00 mm
2023-9-27, 13:50, 0, 0.00 mm
2023-9-27, 13:51, 0, 0.00 mm
2023-9-27, 13:52, 0, 0.00 mm
2023-9-27, 13:53, 0, 0.00 mm
2023-9-27, 13:54, 0, 0.00 mm
2023-9-27, 13:55, 0, 0.00 mm
2023-9-27, 13:56, 0, 0.00 mm
2023-9-27, 13:57, 0, 0.00 mm
2023-9-27, 13:58, 0, 0.00 mm
2023-9-27, 13:59, 0, 0.00 mm
2023-9-27, 14:0, 0, 0.00 mm
2023-9-27, 14:1, 0, 0.00 mm
2023-9-27, 14:2, 0, 0.00 mm
2023-9-27, 14:3, 0, 0.00 mm
2023-9-27, 14:4, 0, 0.00 mm
2023-9-27, 14:5, 0, 0.00 mm
2023-9-27, 14:6, 0, 0.00 mm
2023-9-27, 14:7, 0, 0.00 mm
2023-9-27, 14:8, 0, 0.00 mm
2023-9-27, 14:9, 0, 0.00 mm
2023-9-27, 14:10, 0, 0.00 mm
2023-9-27, 14:11, 0, 0.00 mm
2023-9-27, 14:12, 0, 0.00 mm
2023-9-27, 14:13, 0, 0.00 mm
2023-9-27, 14:14, 0, 0.00 mm
2023-9-27, 14:15, 0, 0.00 mm
2023-9-27, 14:16, 0, 0.00 mm
2023-9-27, 14:17, 0, 0.00 mm
2023-9-27, 14:18, 0, 0.00 mm
2023-9-27, 14:19, 0, 0.00 mm
2023-9-27, 14:20, 0, 0.00 mm
