=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.08.07 17:17:11 =~=~=~=~=~=~=~=~=~=~=~=
loudness	sound
77
256	192
213	169
232	185
274	160
278	117
240	102
305	77
435	77
240	94
133	91
273	110
186	143
266	159
266	176
434	181
270	184
305	162
7	185
315	125
267	137
319	142
331	112
179	77
82	194
270	118
243	134
227	124
257	207
266	111
258	121
229	117
213	120
264	121
268	133
221	227
215	101
190	90
293	254
233	114
227	148
204	124
334	130
295	120
276	119
271	142
135	125
49	120
155	131
132	140
116	131
114	128
145	115
141	126
125	125
111	127
111	124
146	119
139	130
111	133
91	132
124	136
140	141
143	119
125	113
99	133
118	131
132	130
127	123
113	118
98	135
128	150
119	118
114	142
111	137
103	126
122	140
105	162
119	148
99	85
101	82
124	98
139	98
122	104
110	123
138	144
145	161
116	169
109	172
118	182
116	196
121	163
125	134
123	104
108	82
101	89
143	86
136	82
111	109
114	107
140	159
146	177
106	183
105	171
123	180
118	172
118	159
127	116
112	80
106	81
134	90
142	82
105	94
103	119
126	154
138
