=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.08.02 17:40:25 =~=~=~=~=~=~=~=~=~=~=~=,
loudness,sound
113,
59,29
58,51
59,64
60,49
59,57
59,53
59,53
59,62
59,58
59,53
59,51
59,53
59,73
59,60
59,76
59,48
59,59
59,74
59,45
59,69
59,39
59,48
59,56
59,67
59,58
59,62
59,55
59,33
60,117
59,645
59,139
59,62
59,61
59,72
59,637
59,246
59,57
59,259
59,182
59,90
59,49
60,60
59,71
59,41
59,76
59,51
59,63
60,38
59,43
59,47
59,645
59,583
60,607
59,529
59,510
59,19
59,74
60,648
59,103
59,100
59,73
59,67
59,57
59,75
59,221
60,27
60,179
59,62
59,645
59,648
59,544
59,645
59,625
59,626
59,549
59,647
59,531
59,159
59,523
58,387
59,649
59,73
59,58
59,500
59,468
59,530
59,550
59,394
59,649
58,193
58,101
59,76
58,74
59,66
58,56
59,44
59,66
59,98
59,63
59,70
58,78
59,104
59,62
58,64
58,55
59,60
59,76
58,72
58,56
59,70
59,67
59,50
59,72
59,64
58,49
59,69
59,65
59,72
59,65
58,53
59,73
59,54
59,63
59,54
59,55
59,65
59,51
59,70
59,61
59,57
59,90
59,67
59,60
59,47
59,50
59,57
59,73
59,68
59,56
59,71
59,82
59,72
59,76
58,65
59,59
59,61
59,61
58,64
59,60
59,48
59,58
59,59
59,62
59,49
59,53
59,67
59,57
59,70
59,63
59,68
59,78
59,54
59,52
58,60
59,63
59,63
59,58
58,52
59,43
59,65
59,76
58,74
58,71
59,49
59,69
59,69
59,55
59,64
59,66
59,63
59,56
59,68
59,57
58,61
59,63
59,57
59,62
58,55
59,82
59,59
59,71
59,51
58,51
59,62
59,64
59,77
59,52
59,63
58,68
60,45
59,60
59,46
59,70
59,53
59,65
59,65
59,56
59,57
59,57
59,74
59,58
59,53
59,66
59,63
59,63
59,68
59,59
59,49
59,69
59,73
59,55
58,62
58,69
59,63
59,76
59,62
59,49
59,53
59,81
59,68
59,61
59,48
59,69
59,58
59,63
59,61
59,67
59,50
59,74
59,73
59,67
59,53
59,56
59,75
59,71
59,66
59,66
59,70
59,76
59,71
59,62
59,63
59,73
59,68
59,73
59,65
59,66
59,77
59,77
59,53
58,53
58,60
59,75
59,61
59,77
59,54
59,65
59,77
59,78
59,73
59,60
59,67
59,58
59,64
59,63
58,60
59,73
59,74
59,78
59,63
59,56
59,71
59,73
59,67
59,61
59,68
59,70
59,77
59,74
58,64
59,65
59,75
59,73
59,63
58,58
59,58
59,74
59,78
59,66
59,57
59,67
59,61
59,74
60,82
59,57
59,62
59,73
59,64
59,58
59,67
59,61
59,72
59,135
59,64
59,61
59,60
59,77
59,67
59,74
59,61
59,62
59,67
59,74
59,55
58,62
59,63
59,77
59,63
59,75
59,60
59,71
59,69
59,54
59,65
59,69
59,62
60,71
59,82
59,71
59,68
59,67
59,84
59,72
59,64
59,79
59,64
60,80
59,64
59,73
59,59
59,74
60,66
59,68
59,71
59,56
59,69
59,76
59,67
59,68
58,64
59,67
59,76
59,64
59,59
59,66
59,78
59,71
59,61
59,56
59,75
59,79
59,69
59,67
59,69
59,73
59,75
59,61
59,57
59,77
59,80
59,79
59,76
59,64
59,67
59,70
59,75
60,70
59,67
59,74
59,71
59,77
59,76
58,63
59,59
59,77
59,78
59,79
59,61
59,59
59,72
59,79
59,69
59,62
59,67
59,65
59,81
59,54
59,68
59,78
59,63
59,76
59,67
59,72
59,74
59,71
59,75
59,70
59,61
59,63
59,78
59,82
59,67
59,63
59,62
59,79
59,80
59,78
59,68
59,88
59,70
59,54
59,69
59,66
59,102
59,75
59,62
59,57
59,64
59,71
59,85
59,68
59,69
58,69
59,65
59,80
59,68
59,67
59,71
59,71
59,80
59,80
59,65
59,62
59,74
59,81
59,82
59,69
58,71
59,71
59,91
59,70
59,89
59,74
59,650
59,85
59,83
59,59
59,74
59,70
59,72
59,65
59,74
59,62
59,66
59,77
59,69
59,51
59,59
59,88
60,73
59,73
59,72
59,63
59,80
59,110
59,97
59,62
59,71
59,75
59,61
59,84
59,75
59,68
60,89
59,72
59,63
59,66
59,70
59,69
59,77
59,66
59,65
59,105
60,69
59,80
59,76
59,67
59,71
59,83
59,85
59,68
59,
