Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,29413
Base Time Seconds,1709664455
Base Time Fractional,.120737280
Base Time,03/05/2024 18:47:35.120737280
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-9.982534265873e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0173283908516,Volt DC,.1,F,2W,F,F,0.000000000
-9.982706927758e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0170021019876,Volt DC,.1,F,2W,F,F,0.082834980
-9.982303339484e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0166762787849,Volt DC,.1,F,2W,F,F,0.165474300
-9.982651505425e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0163517240435,Volt DC,.1,F,2W,F,F,0.248111900
-9.982650084339e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0160234738141,Volt DC,.1,F,2W,F,F,0.331301180
-9.982479554083e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0156994964927,Volt DC,.1,F,2W,F,F,0.413943920
-9.982648663254e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0153786242008,Volt DC,.1,F,2W,F,F,0.496593040
-9.982477422454e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0150521090254,Volt DC,.1,F,2W,F,F,0.579235080
-9.982362314531e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0147343548015,Volt DC,.1,F,2W,F,F,0.661869140
-9.98207880798e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0144238704816,Volt DC,.1,F,2W,F,F,0.744491160
-9.982478132997e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0141077237204,Volt DC,.1,F,2W,F,F,0.827128520
-9.982307602741e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0137903187424,Volt DC,.1,F,2W,F,F,0.910296400
-9.982654347596e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0134716406465,Volt DC,.1,F,2W,F,F,0.992929880
-9.982596793634e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0131416656077,Volt DC,.1,F,2W,F,F,1.075564080
-9.982480975168e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0128016574308,Volt DC,.1,F,2W,F,F,1.158186720
-9.982652215967e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0124913947657,Volt DC,.1,F,2W,F,F,1.240857580
-9.98253852913e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0121928965673,Volt DC,.1,F,2W,F,F,1.323495260
-9.982652215967e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0118754850700,Volt DC,.1,F,2W,F,F,1.406130300
-9.982193915903e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0115802166983,Volt DC,.1,F,2W,F,F,1.488853120
-9.982654347596e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0112774483860,Volt DC,.1,F,2W,F,F,1.571488180
-9.982078097437e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0109777962789,Volt DC,.1,F,2W,F,F,1.654126760
-9.982249338236e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0106732985005,Volt DC,.1,F,2W,F,F,1.737304240
-9.982250759322e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0103724934161,Volt DC,.1,F,2W,F,F,1.819932760
-9.982596793634e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0100683430210,Volt DC,.1,F,2W,F,F,1.902567800
-9.982423421206e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0097798733041,Volt DC,.1,F,2W,F,F,1.985201160
-9.98225289095e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0094931349158,Volt DC,.1,F,2W,F,F,2.067846720
-9.982654347596e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0091926716268,Volt DC,.1,F,2W,F,F,2.150477280
-9.981960857885e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0088976295665,Volt DC,.1,F,2W,F,F,2.233104980
